Gene;Ratio;p_value;FDR;hits
TRIM33;0,637482875;0,217251052;0,618666667;FALSE
ASB6;0,570169355;0,215371669;0,618666667;FALSE
UBE4A;0,873515447;0,214530154;0,618666667;FALSE
KLHL2;1,671543187;0,211332398;0,618666667;FALSE
KLHL32;1,14615584;0,211107994;0,618666667;FALSE
ZC3HC1;0,746111158;0,210603086;0,618666667;FALSE
FOXD4L4;1,121488955;0,209677419;0,618666667;FALSE
MKRN2;1,45479257;0,208415147;0,618666667;FALSE
USP45;0,736371089;0,207741935;0,618666667;FALSE
MID2;1,574449565;0,206704067;0,618666667;FALSE
USP13;0,842649778;0,203899018;0,618666667;FALSE
FBXL8;1,138627887;0,20345021;0,618666667;FALSE
